FLOW serial number,FLOW source,FLOW destination,FLOW duration,FLOW packet count,FLOW bytes count,FLOW TX time difference median,FLOW TX time difference variance,FLOW packet length median,FLOW packet length variance,FLOW to router or broadcast,FLOW answer count,FLOW answer length median,FLOW answer length variance,FLOW response time median,FLOW response time variance,FLOW label
59.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.923079,13,546,0.076923,4.03687500000017E-10,42,0,1,12,42,0,0.00429,4.11868243055556E-07,0
71.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.999953,35,10010,0.0294125,1.41589100346025E-10,286,0,1,34,342,0,0.008001,5.83960356401384E-07,0
8.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.973681,38,10868,0.026315,8.04791818845816E-11,286,0,1,37,342,0,0.007995,8.34678511322133E-07,0
88.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.979592,49,2058,0.020408,1.07222222222224E-10,42,0,1,48,42,0,0.000906,4.57461932638889E-06,0
96.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.966653,30,1260,0.033333,2.16361474435211E-11,42,0,1,30,42,0,0.000884,6.33662667288889E-05,1
96.2,b8:27:eb:f9:00:d6,ff:ff:ff:ff:ff:ff,0.068806,34,1428,0.00176,2.17289281726354E-06,42,0,1,0,0,0,0,0,1
5.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.975608,41,1722,0.0243905,1.08210000000001E-10,42,0,1,40,42,0,0.000891,1.90336259375E-07,0
38.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.954546,22,6292,0.045455,9.40544217687024E-11,286,0,1,21,342,0,0.008155,4.27080110204082E-06,0
16.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.95999,25,7150,0.04,7.08263888888858E-11,286,0,1,24,342,0,0.0098615,3.62805653993056E-06,0
51.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.857136,13,3718,0.071431,1.21500000000016E-10,286,0,1,13,342,0,0.011099,9.30294828402367E-07,0
