FLOW serial number,FLOW source,FLOW destination,FLOW duration,FLOW packet count,FLOW bytes count,FLOW TX time difference median,FLOW TX time difference variance,FLOW packet length median,FLOW packet length variance,FLOW to router or broadcast,FLOW response time median,FLOW response time variance,FLOW response time average,FLOW response time min,FLOW response time max,FLOW label
35.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.173459,50,5100,0.003059,1.61274969346106E-06,102,0,1,0.001814,1.5908273956E-06,0.00233338,0.001442,0.008563,0
50.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.174671,50,5100,0.002969,1.4587713877551E-06,102,0,1,0.0017955,1.5021055396E-06,0.00246798,0.00164,0.007881,0
86.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.011485,5,510,0.002856,3.3586875E-09,102,0,1,0.001753,1.2756875E-09,0.00177225,0.001749,0.001834,0
92.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.426744,50,5100,0.006046,0.000135207168588,102,0,1,0.003785,0.000115353209826,0.00675012,0.001758,0.074961,1
95.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.328102,50,5100,0.005206,2.78078545697626E-05,102,0,1,0.00203,2.86128313810912E-05,0.004084918367347,0.001537,0.029739,1
67.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.166434,50,5100,0.00299,9.71381135360266E-07,102,0,1,0.001843,9.56626999583507E-07,0.002240020408163,0.001663,0.006419,0
29.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.18255,50,5100,0.003066,2.13620596418159E-06,102,0,1,0.001851,2.1641689879217E-06,0.002531306122449,0.001691,0.008633,0
67.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.212564,50,5100,0.003336,3.45659885547689E-06,102,0,1,0.002086,3.2206063815077E-06,0.003127163265306,0.001717,0.008321,0
42.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.075149,23,2346,0.0030215,9.91943845041322E-07,102,0,1,0.0018455,9.95586289256198E-07,0.002312272727273,0.001761,0.005594,0
59.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.187941,50,5100,0.003164,3.41504824906289E-06,102,0,1,0.001823,2.86741141024573E-06,0.002461653061224,0.001679,0.012116,0
53.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.18948,50,5100,0.002955,2.44222034319034E-06,102,0,1,0.001846,2.40283366097459E-06,0.002770367346939,0.00166,0.006967,0
94.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.2477,50,5100,0.004018,7.05955490795502E-06,102,0,1,0.0028555,6.9097313136E-06,0.00385292,0.001743,0.01277,1
60.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.192589,50,5100,0.003189,3.99139807413578E-06,102,0,1,0.002009,3.97996038983757E-06,0.002799653061224,0.001737,0.014591,0
73.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.842307,23,2329,0.0048115,0.023197045016853,102,12.0189035916824,1,0.001933,1.08228087809917E-06,0.002497590909091,0.00174,0.005384,0
66.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.101947,20,2040,0.00523,1.97917675900277E-06,102,0,1,0.001912,7.62556565096953E-07,0.002280473684211,0.001822,0.00557,0
6.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.553585,26,2569,0.003045,0.00317430287536,102,57.4630177514793,1,0.00181,1.3219626816E-06,0.00216328,0.001476,0.006642,0
1.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.181085,50,5100,0.003161,1.55898684964598E-06,102,0,1,0.001876,1.51678045397751E-06,0.002500510204082,0.001567,0.007411,0
73.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.178789,49,4998,0.0030535,2.24526500998264E-06,102,0,1,0.001848,2.26317263390254E-06,0.002503755102041,0.00139,0.009433,0
89.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.341732,24,2388,0.006261,0.001692189119905,102,143.75,1,0.002036,5.67983952479339E-07,0.002414045454545,0.001881,0.004223,0
92.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.286739,50,5100,0.00398,1.33703242315702E-05,102,0,1,0.002827,1.223982576E-05,0.0045326,0.001733,0.014787,1
